product_name,drug_varient,product_photo_url,product_url,final_price,original_price,offer,is_in_stock
INLIFE Testroid Vegetarian Capsule 60's,Mfr: Inlife Pharma Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/905269/inlife_testroid_vegetarian_capsule_60s_0_0.jpg,https://www.netmeds.com/non-prescriptions/inlife-testroid-vegetarian-capsule-60s,Rs. 439.06,"Rs. 1,299.00",66.2% OFF,True
Manforce 3 in 1 Wild Condoms - Strawberry Flavoured 3's,Mfr: Mankind Pharma Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/895030/manforce_3_in_1_wild_condoms_strawberry_flavoured_3s_0_0.jpg,https://www.netmeds.com/non-prescriptions/manforce-condoms-wild-strawberry-3-s,Rs. 18.75,Rs. 25.00,25% OFF,True
HI Q Plus Tablet 10'S,Mfr: Biomiicron Pharma India Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/356422/hi_q_plus_tablet_10_s_0.jpg,https://www.netmeds.com/prescriptions/hi-q-plus-tablet-10-s,Rs. 550.00,None,None,True
INLIFE VT-Gel Vaginal Tightening Gel 100 gm,Mfr: Inlife Pharma Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/858179/inlife_vt_gel_vaginal_tightening_gel_100_gm_0.jpg,https://www.netmeds.com/non-prescriptions/inlife-vt-gel-vaginal-tightening-gel-paraben-free-100-grams-100-gm,Rs. 231.60,Rs. 579.00,60% OFF,True
Biohome Vigrosom Men's Tonic 30 ml,Mfr: Bio Home,https://www.netmeds.com/images/product-v1/150x150/831555/biohome_vigrosom_men_s_tonic_30_ml_0.jpg,https://www.netmeds.com/non-prescriptions/biohome-vigrosom-men-s-tonic-30-ml,Rs. 380.00,None,None,True
Moods Condoms - Choco 3's,Mfr: Hll Lifecare Ltd,https://www.netmeds.com/images/product-v1/150x150/829541/moods_condoms_choco_3s_0_1.jpg,https://www.netmeds.com/non-prescriptions/moods-chocolate-flavoured-condom-3-s,Rs. 30.00,None,None,True
Neeri Kft Sugar Free Syrup 200ml,Mfr: Aimil Pharmaceuticals Ltd,https://www.netmeds.com/images/product-v1/150x150/800870/neeri_kft_sugar_free_syrup_200ml_0_0.jpg,https://www.netmeds.com/prescriptions/neeri-kft-sugar-free-syrup-200ml,Rs. 520.00,None,None,True
Eqsta Vigor Tablet 6's,Mfr: Medopharm Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/903289/eqsta_vigor_dietary_supplement_for_male_performance_6s_0_1.jpg,https://www.netmeds.com/non-prescriptions/eqsta-vigor-dietary-supplement-for-male-performance-6s,Rs. 510.00,Rs. 600.00,15% OFF,True
Moods Silver Condoms - Joyride 12's,Mfr: Hll Lifecare Ltd,https://www.netmeds.com/images/product-v1/150x150/905373/moods_silver_condoms_joyride_12s_0_1.jpg,https://www.netmeds.com/non-prescriptions/moods-silver-condoms-joyride-12s,Rs. 150.00,None,None,True
"K2 Condoms Combo (Ultra-Thin, Strawberry - Pack of 2 x 10's Each)",Mfr: KWOT Healthcare Private Limited,"https://www.netmeds.com/images/product-v1/150x150/921758/k2_condoms_premium_delight_series_2_pack_of_10_pcs_combo_ultra_thin,_strawberry_40s_0_0.jpg",https://www.netmeds.com/non-prescriptions/k2-condoms-premium-delight-series-2-pack-of-10-pcs-combo-ultra-thin-strawberry-40s,Rs. 294.00,Rs. 420.00,30% OFF,True
